Category,Mutual Fund,Scheme Name,Regular Plan - Growth,Regular Plan - IDCW
Hybrid,Tata,Tata Balanced Advantage Fund,INF277K010S4,INF277K010U0
Equity,Tata,Tata Digital India Fund,INF277K01Z85*,N/A
Equity,Tata,Tata Small Cap Fund,INF277K011P8*,N/A
Debt,Tata,Tata Liquid Fund,INF277K01062,INF277K01039 (Weekly)
Hybrid,Tata,Tata Arbitrage Fund,INF277K010G5,INF277K010I1
Equity,Taurus,Taurus Flexi Cap Fund,INF044D01013,INF044D01021
Equity,Taurus,Taurus Mid Cap Fund,INF044D01815,INF044D01823
Equity,Taurus,Taurus Large Cap Fund,INF044D01773,INF044D01781
Equity,Taurus,Taurus ELSS Tax Saver Fund,INF044D01997,INF044D01971
Equity,Taurus,Taurus Ethical Fund,INF044D01831,INF044D01849
Equity,Taurus,Taurus Infrastructure Fund,INF044D01906,INF044D01914
Equity,Taurus,Taurus Nifty 50 Index Fund,INF044D01948,INF044D01930
Equity,Taurus,Taurus Banking & Financial Services Fund,INF044D01872,INF044D01880
Debt,Taurus,Taurus Liquid Fund,INF044D01393,INF044D01401 (Weekly)
Equity,TRUSTMF,TRUSTMF Flexi Cap Fund,152646,152644
Debt,TRUSTMF,TRUSTMF Banking & PSU Debt Fund,148827,148828
Debt,TRUSTMF,TRUSTMF Liquid Fund,149102,149103 (Daily)
Debt,TRUSTMF,TRUSTMF Short Duration Fund,149340,149341
Debt,TRUSTMF,TRUSTMF Overnight Fund,151221,151222
Debt,TRUSTMF,TRUSTMF Money Market Fund,151829,151830
Debt,TRUSTMF,TRUSTMF Corporate Bond Fund,152349,152347
Equity,Unifi,Unifi Flexi Cap Fund,153542,N/A*
Hybrid,Unifi,Unifi Dynamic Asset Allocation Fund,153377,N/A*
Debt,Unifi,Unifi Liquid Fund,INF1MIY01064 (ISIN),N/A*
Equity,Union,Union Flexi Cap Fund,119290,119291
Equity,Union,Union Small Cap Fund,129647,129648
Equity,Union,Union Midcap Fund,148071,148072
Equity,Union,Union Large Cap Fund,141246,141247
Equity,Union,Union Large & Midcap Fund,147748,147749
Equity,Union,Union ELSS Tax Saver Fund,119305,119306
Equity,Union,Union Focused Fund,147490,147491
Equity,Union,Union Value Fund,145471,145472
Equity,Union,Union Multicap Fund,150856,150857
Hybrid,Union,Union Balanced Advantage Fund,142036,142037
Hybrid,Union,Union Aggressive Hybrid Fund,148590,148591
Hybrid,Union,Union Arbitrage Fund,146295,146296
Debt,Union,Union Liquid Fund,119301,119302
Debt,Union,Union Overnight Fund,147001,147002
Equity,UTI ,UTI Large Cap Fund,100574,100573
Equity,UTI ,UTI Flexi Cap Fund,100569,100568
Equity,UTI ,UTI Mid Cap Fund,100585,100584
Equity,UTI ,UTI Value Opportunities Fund,100593,100592
Equity,UTI ,UTI Nifty 50 Index Fund,100609,100608
Equity,UTI ,UTI ELSS Tax Saver Fund,100579,100578
Equity,UTI ,UTI Focused Fund,148301,148302
Equity,UTI ,UTI MNC Fund,100591,100590
Equity,UTI ,UTI Transportation & Logistics Fund,100589,100588
Equity,UTI ,UTI Infrastructure Fund,100586,100587
Equity,UTI ,UTI Healthcare Fund,100557,100556
Debt,UTI ,UTI Liquid Cash Plan,100548,100549
Debt,UTI ,UTI Money Market Fund,100551,100553 (Daily)
Equity,WhiteOak Capital,WhiteOak Capital Flexi Cap Fund,150347,150348
Equity,WhiteOak Capital,WhiteOak Capital Mid Cap Fund,INF03VN01563 (ISIN),INF03VN01571 (ISIN)
Equity,WhiteOak Capital,WhiteOak Capital Large & Mid Cap Fund,152225,152223 (ISIN)
Equity,WhiteOak Capital,WhiteOak Capital ELSS Tax Saver Fund,150589,150588
Equity,WhiteOak Capital,WhiteOak Capital Multi Cap Fund,INF03VN01795 (ISIN),INF03VN01803 (ISIN)
Equity,WhiteOak Capital,WhiteOak Capital Large Cap Fund,INF03VN01662 (ISIN),INF03VN01670 (ISIN)
Hybrid,WhiteOak Capital,WhiteOak Capital Balanced Advantage Fund,151268,INF03VN01738 (ISIN)
Hybrid,WhiteOak Capital,WhiteOak Capital Multi Asset Allocation Fund,INF03VN01779 (ISIN),INF03VN01787 (ISIN)
Debt,WhiteOak Capital,WhiteOak Capital Liquid Fund,145968,145972 (Monthly)
Debt,WhiteOak Capital,WhiteOak Capital Ultra Short Duration Fund,145976,145980 (Monthly)
